"Species","Site","year","week-1","week0","week1","week2","week3","week4","week5","week6","week7","week8","week9","week10","week11","week12","week13","week14","week15","week16","Nflowers"
"A._congregatum","DTG",2000,0,11,27,54,7,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",261
"A._congregatum","Moed",2000,0,18,31,45,5,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",55
"A._crateriforme","Ariz",2000,0,6,32,38,12,12,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",34
"A._crateriforme","DTG",2000,0,10,29,51,10,1,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",199
"A._crateriforme","GGrd",2000,"NA",0,7,29,46,19,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",149
"A._delaetii_'early'","QK",2000,0,17,27,48,9,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",94
"A._delaetii_'late'","Ariz1",2000,"NA","NA","NA","NA","NA","NA","NA",0,13,64,19,2,1,0,"NA","NA","NA","NA",139
"A._delaetii_'late'","Ariz2",2000,"NA","NA","NA","NA","NA","NA",0,27,63,10,0,"NA","NA","NA","NA","NA","NA","NA",340
"A._delaetii_'late'","GGtrn",2000,"NA","NA","NA","NA","NA","NA",0,6,58,23,6,7,0,"NA","NA","NA","NA","NA",122
"A._fissum","QK1",2000,"NA","NA","NA","NA","NA",0,1,1,12,25,14,11,19,3,4,6,4,0,162
"A._fissum","Sout1",2000,"NA","NA","NA","NA","NA","NA",0,1,10,17,28,22,15,3,3,1,2,0,187
"A._framesii_subsp._hallii","GGWrd",2000,"NA","NA","NA","NA","NA","NA",0,13,60,21,7,0,"NA","NA","NA","NA","NA","NA",126
"A._framesii_subsp._hallii","Moed",2000,"NA","NA","NA","NA","NA","NA",0,25,38,22,8,6,1,0,"NA","NA","NA","NA",72
"A._framesii_subsp._framesii","FV1",2000,"NA","NA","NA","NA","NA","NA","NA",0,3,11,33,47,4,1,1,0,"NA","NA",402
"A._framesii_subsp._framesii","GGtrn",2000,"NA","NA","NA","NA","NA","NA","NA","NA",0,2,10,29,39,9,10,2,0,"NA",187
"A._patens","FV1",2000,"NA","NA",0,8,39,27,18,8,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA",62
"A._pearsonii","S1",2000,"NA","NA","NA","NA",0,1,4,58,35,2,0,"NA","NA","NA","NA","NA","NA","NA",148
"A._pearsonii","S2",2000,"NA","NA","NA","NA","NA",0,12,76,12,0,"NA","NA","NA","NA","NA","NA","NA","NA",34
"A._pearsonii","S3",2000,"NA","NA",0,0,2,6,21,64,7,0,"NA","NA","NA","NA","NA","NA","NA","NA",335
